FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),Salary(Integer),Rate(Double),SingleExemp(String),MarriedExemp(String),ChildExemp(String)
Chengqi,Piera,M,567,1000000,BROWNSVILLE,OH,43721,M,N,11500,0.9277667,0,2600,0
Yasmina,Marsala,M,402,1000000,MARSLAND,NE,69354,M,N,36500,6.84,0,206,0
Jesas,Verykios,F,863,1000000,CANDLER,FL,32111,S,Y,38500,0.0,0,0,0
Hiroyuji,Rahmat,M,765,1000000,HILLSDALE,IN,47854,S,Y,19000,3.4,1000,0,1000
Mordechai,Leifert,M,580,1000000,KINTA,OK,74552,S,Y,40500,6.25,1000,0,1000
Toyohisa,Vidal,F,954,1000000,DAYTONA BEACH,FL,32117,S,N,12000,0.0,0,0,0
Jerrold,Gausemeier,M,574,1000000,WHEELER,IN,46393,S,Y,2000,3.4,1000,0,1000
Rosa,Mandiau,F,608,1000000,KNAPP,WI,54749,M,N,21000,4.8112817,0,1400,0
Debby,Kombarov,F,918,1000000,MENO,OK,73760,S,Y,63500,6.25,1000,0,1000
Anzhelika,Wabbi,M,435,1000000,FAIRVIEW,UT,84629,S,Y,31500,7.0,2475,0,2475
Olivier,Asrin,F,559,1000000,INGLEWOOD,CA,90304,M,N,75000,9.3,0,174,0
Emin,Pejhan,F,808,1000000,HONOLULU,HI,96837,S,Y,30000,6.447368,1040,0,1040
Reuven,Kandori,F,650,1000000,SACRAMENTO,CA,94285,M,Y,54000,9.3,0,174,272
Seraphin,Agostini,F,865,1000000,MCMINNVILLE,TN,37110,M,N,80500,0.0,0,0,0
Malvin,Birsak,F,304,1000000,GORDON,WV,25093,S,Y,94500,6.5,2000,0,2000
Xiaoyan,Hoede,M,712,1000000,MARATHON,IA,50565,M,N,75500,8.98,0,80,0
Jieyu,Broda,F,787,1000000,LARES,PR,669,M,N,63000,0.0,0,0,0
Yibei,Arizio,F,423,1000000,WILLISTON,TN,38076,S,Y,32000,0.0,0,0,0
Rix,Mitrou,M,401,1000000,GLENDALE,RI,2826,S,Y,68000,0.0,0,0,0
Guihai,Isard,M,860,1000000,QUAKER HILL,CT,6375,S,Y,88500,5.0,12750,0,0
Helge,Indiresan,F,701,1000000,KENMARE,ND,58746,S,Y,94500,2.8511777,3300,0,3300
Vassilios,Alderson,F,731,1000000,COSBY,TN,37722,S,Y,5000,0.0,0,0,0
Stuart,Chiola,M,678,1000000,PINEHURST,GA,31070,S,Y,62000,6.0,2700,0,3000
Dawei,Bowditch,M,808,1000001,NAALEHU,HI,96772,M,N,84000,8.25,0,2080,0
Mori,Parnes,F,701,1000001,DEVILS LAKE,ND,58301,M,N,33500,2.1440504,0,6600,0
Patrik,Baber,F,207,1000000,AUGUSTA,ME,4333,S,Y,8500,3.8740876,2850,0,2850
Jayaramaiah,Suomi,F,509,1000000,HARRINGTON,WA,99134,S,Y,18500,0.0,0,0,0
Vwani,Hasker,F,614,1000000,CANAL FULTON,OH,44614,S,N,40500,1.890418,1300,0,0
Tiziana,Shiota,M,208,1000000,CALDWELL,ID,83606,S,Y,16500,5.954847,3300,0,3300
Annegret,Conheeney,F,702,1000000,LAS VEGAS,NV,89141,M,N,5500,0.0,0,0,0
Ejan,Leiva,M,907,1000000,CHEVAK,AK,99563,M,N,7000,0.0,0,0,0
Michele,DuCasse,F,228,1000000,JACKSON,MS,39212,M,N,83500,5.0,0,12000,0
CongDuc,Stornetta,M,563,1000000,SPRAGUEVILLE,IA,52074,S,Y,79500,8.98,40,0,40
Kiyomitsu,Beam,M,406,1000000,EAST HELENA,MT,59635,S,Y,3000,1.3560345,1900,0,1900
Bastien,Furlanello,M,402,1000001,GENEVA,NE,68361,M,N,20000,5.685643,0,206,0
Kepa,Vasconcelos,M,202,1000000,WASHINGTON,DC,20210,S,Y,66000,9.0,1370,0,1370
Takahira,Pinho,M,803,1000000,MONETTA,SC,29105,M,N,68000,7.0,0,6600,0
Maurita,Freivalds,M,662,1000000,SCOBEY,MS,38953,S,Y,61000,5.0,6000,0,1500
Willm,Siprelle,F,985,1000000,METAIRIE,LA,70006,M,N,78000,6.0,0,9000,0
Satyamurthy,Kass,F,207,1000001,FAIRFIELD,ME,4937,S,Y,77500,8.5,2850,0,2850
Zhigen,Drexl,M,435,1000001,CANNONVILLE,UT,84718,M,N,65500,7.0,0,4950,0
Schuyler,Benanav,F,865,1000001,WOODLAWN,TN,37191,M,N,20500,0.0,0,0,0
Jianwen,Joichi,M,425,1000000,STEILACOOM,WA,98388,S,Y,53500,0.0,0,0,0
Achim,Partee,F,505,1000000,SAN FIDEL,NM,87049,S,Y,13500,4.4428573,3300,0,3300
Eddy,Pinotti,F,334,1000000,ORANGE BEACH,AL,36561,M,N,23000,5.0,0,3000,0
Maite,Federico,F,203,1000000,OAKVILLE,CT,6779,S,Y,95000,5.0,12750,0,0
Wouter,Pedersen,M,864,1000000,YEMASSEE,SC,29945,M,Y,77000,7.0,0,6600,3300
Carlos,Luchi,F,219,1000000,KIRKLIN,IN,46050,S,Y,47000,3.4,1000,0,1000
